Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,1-Methylphenanthrene,832-69-9,12.3,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Fluoranthene,206-44-0,362.3,1,5,ng/g dry,1,NA,NA,Y,2010s,600,5100,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Pyrene,129-00-0,259.7,1,5,ng/g dry,1,NA,NA,Y,2010s,665,2600,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Benzo(a)anthracene,56-55-3,149.6,1,5,ng/g dry,1,NA,NA,Y,2010s,261,1600,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Chrysene,218-01-9,161.6,1,5,ng/g dry,1,NA,NA,Y,2010s,384,2800,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Benzo(b)fluoranthene,205-99-2,132.3,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Benzo(k)fluoranthene,207-08-9,94.4,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Benzo(e)pyrene,192-97-2,106,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Benzo(a)pyrene,50-32-8,162.8,1,5,ng/g dry,1,NA,NA,Y,2010s,430,1600,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,Perylene,198-55-0,33.2,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,"Indeno(1,2,3-cd)pyrene",193-39-5,95.3,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,"Dibenz(a,h)anthracene",53-70-3,17.8,1,5,ng/g dry,1,NA,NA,Y,2010s,63.4,260,ng/g dry,Below ERL
Inner Bay,L.SW02,S.SW02,CBEP2010-SW02,2010,0,"Benzo(g,h,i)perylene",191-24-2,88.6,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,Naphthalene,91-20-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,160,2100,ng/g dry,NA
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,2-Methylnaphthalene,91-57-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,70,670,ng/g dry,NA
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,1-Methylnaphthalene,90-12-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,"1,1-Biphenyl",92-52-4,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,"2,6-Dimethylnaphthalene",581-42-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,Acenaphthylene,208-96-8,1.1,1,5,ng/g dry,1,NA,J,Y,2010s,44,640,ng/g dry,Below ERL
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,Acenaphthene,83-32-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,16,500,ng/g dry,NA
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,"2,3,5-Trimethylnaphthalene",2245-38-7,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,Fluorene,86-73-7,1.1,1,5,ng/g dry,1,NA,J,Y,2010s,19,540,ng/g dry,Below ERL
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,Dibenzothiophene,132-65-0,1,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,Phenanthrene,85-01-8,6.1,1,5,ng/g dry,1,NA,NA,Y,2010s,240,1500,ng/g dry,Below ERL
