Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
East Bay,L.EB08T2,S.EB08T,CBEP2010-EB08R,2011,-1,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB09,S.EB09,CBEP2010-EB10,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.EB09T,S.EB09,CBEP2010-EB09,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.SW14T,S.SW14,CBEP2010-SW14,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.SW15T,S.SW15T,CBEP2010-SW15,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB01T,S.IB01,CBEP2010-IB01,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB02,S.IB02,CBEP2010-IB02,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB04T,S.IB04T,CBEP2010-IB04,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.IB05T,S.IB05,CBEP2010-IB05,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
