Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB07Z,S.IB07Z,1994.IB07Z,1994,0,Tributyltin,688-73-3,33.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB07Z,S.IB07Z,1994.IB07Z,1994,0,Dibutyltin,1002-53-5,11.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB07Z,S.IB07Z,1994.IB07Z,1994,0,Monobutyltin,78763-54-9,1.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB08,S.IB08,1994.IB08,1994,0,Tributyltin,688-73-3,16.4,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB08,S.IB08,1994.IB08,1994,0,Dibutyltin,1002-53-5,2.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB08,S.IB08,1994.IB08,1994,0,Monobutyltin,78763-54-9,0.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB09,S.IB09,1994.IB09,1994,0,Tributyltin,688-73-3,27.8,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB09,S.IB09,1994.IB09,1994,0,Dibutyltin,1002-53-5,2.2,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB09,S.IB09,1994.IB09,1994,0,Monobutyltin,78763-54-9,0.2,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,1994.IB10,1994,0,Tributyltin,688-73-3,13,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,1994.IB10,1994,0,Dibutyltin,1002-53-5,0.8,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,1994.IB10,1994,0,Monobutyltin,78763-54-9,0.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB01,S.OB01,1994.OB01,1994,0,Tributyltin,688-73-3,21.2,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB01,S.OB01,1994.OB01,1994,0,Dibutyltin,1002-53-5,1,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB01,S.OB01,1994.OB01,1994,0,Monobutyltin,78763-54-9,0.5,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB03,S.OB03,1994.OB03,1994,0,Tributyltin,688-73-3,18.9,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Outer Bay,L.OB03,S.OB03,1994.OB03,1994,0,Dibutyltin,1002-53-5,1.7,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
